ApplStandard,Brand,Cap,CEC Cold,CEC_,Cold Prog,Cold Wat Cons,Combination,Conn_Mode,Country,delayStartMode,Depth,DetergentType,Height,Hot Wat Cons,internal_heater,Loading,MachineAction,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Test Prog Time,Tot Wat Cons,Type,WEI,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Star Image Large,Star Image Small
AS/NZS 2040.2:2005,SAMSUNG ELECTRONICS,6,95,217,"Cotton, Cold, 3 rinses, 1200 rpm",65.38,False,Cold,China,True,,Drum,,0.5,Yes on the warm wash program only,Front,Drum,B1245AV,AS/NZS 2040.1:2005/Amdt 3:2010,3.9073,3.5,0.0,2.3,"Cotton, 40 C, 3 rinses, 1200 rpm spin",New Zealand,2.3,35862,Approved,151.37,65.88,Drum,0.7,,,,,Unavailable,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
AS/NZS 2040.2:2005,BAUMATIC,6,,947,,93.8,False,Hot,Chile,False,,Non Drum,,52.5,No,Top,Impeller,BK6EL,AS/NZS 2040.1:2005/Amdt 3:2010,0.38,1.0,0.0,2.26,confirmed,New Zealand,2.3,34795,Approved,1.01,146.3,Non-Drum,0.71,,,,,Unavailable,http://www.applico.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
AS/NZS 2040.2:2005,TUSCANY,6.5,72,593,"Warm Wash, Water Level High, Fuzzy",101.64,False,Dual,"""Korea, Republic of""",True,643.0,Non Drum,956.0,29.5,No,Top,Impeller,TWT65,AS/NZS 2040.1:2005/Amdt 3:2010,1.685,1.5,0.0,1.2,"Warm Wash, Water Level High, Fuzzy","Australia,New Zealand",0.44,30741,Approved,62.18,131.13,Non-Drum,0.869,598.0,,,,Unavailable,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
AS/NZS 2040.2:2005,MAYTAG,6,,618,,48.3,False,Dual,United States,True,,Drum,,29.2,No,Front,Drum,MAH22PNAGW,AS/NZS 2040.1:2005/Amdt 3:2010,1.5532,1.5,0.0,7.92,Whites,"Australia,New Zealand",7.0,56078,Superseded,65.0,77.5,Drum,0.67679,,2016-03-15,2013-10-23,,Unavailable,,http://www.maytag.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
AS/NZS 2040.2:2005,MAYTAG,6,,618,,48.3,False,Dual,United States,True,,Drum,,29.2,No,Front,Drum,MAH22PDAGW,AS/NZS 2040.1:2005/Amdt 3:2010,1.5532,1.5,0.0,7.92,Whites,"Australia,New Zealand",7.0,56078,Superseded,65.0,77.5,Drum,0.67679,,2016-03-15,2013-10-23,,Unavailable,,http://www.maytag.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
AS/NZS 2040.2:2005,SMEG,5,,258,,47.0,True,Cold,Italy,False,540.0,Drum,860.0,0.0,Yes on the warm wash program only,Front,Drum,LSE1600,AS/NZS 2040.1:2005/Amdt 3:2010,3.49,3.0,0.0,0.0,"Warm cotton wash, 60 C Cotton wash",New Zealand,0.0,22120,Approved,135.0,47.0,Drum,0.5,395.0,,,,Unavailable,http://www.applico.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
AS/NZS 2040.2:2005,SMEG,5,,258,,47.0,True,Cold,Italy,False,540.0,Drum,860.0,0.0,Yes on the warm wash program only,Front,Drum,SWD1600,AS/NZS 2040.1:2005/Amdt 3:2010,3.49,3.0,0.0,0.0,"Warm cotton wash, 60 C Cotton wash",New Zealand,0.0,22120,Approved,135.0,47.0,Drum,0.5,395.0,,,,Unavailable,http://www.applico.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
AS/NZS 2040.2:2005,SMEG,6.5,,1045,N/A,96.0,False,Dual,Chile,False,,Drum,,58.0,No,Top,Impeller,SM650EL,AS/NZS 2040.1:2005/Amdt 3:2010,0.29,1.0,0.0,2.2,NORMAL,New Zealand,2.2,37568,Approved,64.0,154.0,Non-Drum,0.78,,,,,Unavailable,http://www.applico.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
AS/NZS 2040.2:2005,SMEG,5,,261,,52.0,False,Cold,Italy,False,540.0,Drum,860.0,0.0,Yes on the warm wash program only,Front,Drum,SWF1600,AS/NZS 2040.1:2005/Amdt 3:2010,3.46,3.0,0.0,0.0,"Warm cotton wash, 60 C Cotton wash",New Zealand,0.0,22121,Approved,135.0,52.0,Drum,0.5,595.0,,,,Unavailable,http://www.applico.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
AS/NZS 2040.2:2005,CLASSIQUE,6,,947,,93.8,False,Hot,Chile,False,,Non Drum,,52.5,No,Top,Impeller,CL6EL,AS/NZS 2040.1:2005/Amdt 3:2010,0.38,1.0,0.0,2.26,confirmed,New Zealand,2.3,46110,Approved,60.0,146.3,Non-Drum,0.71,,,,,Unavailable,http://www.applico.co.nz/,http://www.applico.co.nz/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
AS/NZS 2040.2:2005,BOSCH,7,,259,,69.0,False,Cold,Thailand,True,,Drum,,0.0,Yes on the warm wash program only,Front,Drum,WAE24460AU,AS/NZS 2040.1:2005/Amdt 3:2010,4.03,4.0,0.0,2.2,"Cotton, 40C, & Intensive",New Zealand,0.13,34479,Approved,160.0,69.0,Drum,0.61,,,,,Unavailable,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
AS/NZS 2040.2:2005,FISHER & PAYKEL,8,64,477,,80.0,False,Dual,New Zealand,True,,Non Drum,,24.0,No,Top,Agitator,IW812,AS/NZS 2040.1:2005/Amdt 3:2010,3.00299,3.0,0.001,1.3,"Default, Warm, Eco (Save Water++)","Australia,New Zealand",0.0,26684,Approved,49.0,104.0,Non-Drum,0.59,,,,,Unavailable,http://www.fisherpaykel.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
AS/NZS 2040.2:2005,CANDY,8,,300,,95.3,True,Cold,Italy,True,,Drum,,0.0,Yes on the warm wash program only,Front,Drum,GO W496D-01S,AS/NZS 2040.1:2005/Amdt 3:2010,4.0845,4.0,0.0,1.2,Cotton 40 deg C; Max Soil Level; 1400 RPM,"Australia,New Zealand",0.2,56374,Superseded,183.0,95.3,Drum,0.5696,,2016-05-25,2013-10-23,,Unavailable,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
AS/NZS 2040.2:2005,SAMSUNG,6,84,212,"Cotton , Cold wash, 1200 rpm spin",47.7,False,Cold,China,True,,Drum,,0.5,No,Front,Drum,B1245AV,AS/NZS 2040.1:2005/Amdt 3:2010,3.980577,3.5,0.000125,2.31,"Cotton, 40C, 1200 rpm spin",New Zealand,2.31,34579,Approved,128.0,48.2,Drum,0.688,,,,,Unavailable,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
AS/NZS 2040.2:2005,PANASONIC,8,,250,,57.6,False,Cold,China,True,,Drum,,0.0,Yes on the warm wash program only,Front,Drum,NA-148VX3,AS/NZS 2040.1:2005/Amdt 3:2010,4.537,4.5,0.0,0.2,Cotton Rinse Plus; 40 deg C; Eco; 1400 RPM,"Australia,New Zealand",0.18,59766,Superseded,182.0,57.6,Drum,0.53163,,2016-08-07,2013-10-23,,Unavailable,,http://panasonic.cn ,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
