ApplStandard,Brand,Cap,CEC Cold,CEC_,Cold Prog,Cold Wat Cons,Combination,Conn_Mode,Country,delayStartMode,Depth,DetergentType,Height,Hot Wat Cons,internal_heater,Loading,MachineAction,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Test Prog Time,Tot Wat Cons,Type,WEI,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Star Image Large,Star Image Small
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),FISHER & PAYKEL,6.5,62,509,"Regular, Cold, High, ECO",64.4,False,Dual,New Zealand,,,Non Drum,,26.3,No,Top,Agitator,MW612,AS/NZS 2040.1:2005/Amdt 3:2010,2.24,2.0,,,"Regular, Warm, High, ECO",New Zealand,,25359,Superseded,43.0,91.0,Non-Drum,0.68,,,2007-03-31,,Available,http://www.fisherpaykel.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),INDESIT,6,,274,,56.3,False,Dual,Italy,,,Drum,,12.1,Yes on the warm wash program only,Front,Drum,WI 62,AS/NZS 2040.1:2005/Amdt 3:2010,3.2708,3.0,,,"Program No.3,Cotton 40C, 600RPM","Australia,New Zealand",,24780,Superseded,90.5,68.4,Drum,0.818,,2011-04-26,2007-03-31,,Available,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),INDESIT,6,,274,,56.3,False,Dual,Italy,,,Drum,,12.1,Yes on the warm wash program only,Front,Drum,WIL62,AS/NZS 2040.1:2005/Amdt 3:2010,3.2708,3.0,,,"Program No.3,Cotton 40C, 600RPM","Australia,New Zealand",,24780,Superseded,90.5,68.4,Drum,0.818,,2011-04-26,2007-03-31,,Available,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
AS/NZS 2040.2:2000 (Legacy),INDESIT,6,266,277,,54.0,,Dual,Italy,,,,,0.0,,Front,Drum,WE12,AS/NZS 2040.1:2005/Amdt 3:2010,3.6,3.5,,,"Cotton No3, 40 C",New Zealand,,12843,Approved,145.0,55.0,Drum,0.58,,,,,Available,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
AS/NZS 2040.2:2000 (Legacy),Haier,5,90,480,"Warm/cold, Large, Normal Wash",107.47,,Dual,China,,,,,20.7,,Top,Agitator,XQJ50 31A,AS/NZS 2040.1:2005/Amdt 3:2010,1.59,1.5,,,"Warm/cold, Large, Normal wash",New Zealand,,12656,Approved,60.0,128.17,Non-Drum,0.838,,,,,Available,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
AS/NZS 2040.2:2000 (Legacy),SMEG,6.5,,377,heavy Program,105.0,,Dual,Chile,,,,,25.0,,Top,Impeller,S650,AS/NZS 2040.1:2005/Amdt 3:2010,2.93,2.5,,,warm wash,New Zealand,,18008,Approved,62.0,129.0,Non-Drum,0.7,,,,,Available,http://www.applico.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
AS/NZS 2040.2:2000 (Legacy),SMEG,6.5,,380,heavy Program,112.0,,Dual,Chile,,,,,25.0,,Top,Impeller,S750,AS/NZS 2040.1:2005/Amdt 3:2010,2.92,2.5,,,warm wash,New Zealand,,18007,Approved,53.0,137.0,Non-Drum,0.69,,,,,Available,http://www.applico.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
AS/NZS 2040.2:2000 (Legacy),MALBER,6,,231,,56.7,,Cold,Italy,,545.0,,850.0,0.5,,Front,Drum,6,AS/NZS 2040.1:2005/Amdt 3:2010,3.84,3.5,,,P3,"Australia,New Zealand",,19116,Approved,120.0,57.2,Drum,0.673,595.0,,,,Available,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
AS/NZS 2040.2:2000 (Legacy),CANDY,5,,654,,62.3,True,Dual,Italy,,,Drum,,0.5,,Front,Drum,CB 103 TR,AS/NZS 2040.1:2005/Amdt 3:2010,0.9468,1.0,,,"Program 1, Temp  90 C",New Zealand,,21310,Approved,124.0,62.8,Drum,0.64,,,,,Available,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
AS/NZS 2040.2:2000 (Legacy),INDESIT,6,133,327,,57.0,,Dual,Italy,,,,,11.0,,Front,Drum,WD11,AS/NZS 2040.1:2005/Amdt 3:2010,3.2,3.0,,,"No 2, 40 C",New Zealand,,12844,Approved,122.0,68.0,Drum,0.6,,,,,Available,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
