Brand_Reg,Model_No
Kogan,KGNFHD32HVAA
Kogan,KGN1080PPRO22VAA
Kogan,KGN1080PPRO22VBA
Kogan,KGN1080PPRO22VCA
Kogan,KGN1080PPRO22VDA
Kogan,KGN1080P47VAA
Kogan,KGN1080P47VBA
Kogan,KGN1080P42VAA
Kogan,KGN1080P42VBA
