Submit_ID,Brand_Reg,Model_No,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Image Large,Star Image Small
53891,VIVO,LTV24DFHD,"Australia,Fiji",China,61.0,1673.8,LCD,0.595,0.0,0.72,73.75,3.0,3.069,273.0,Approved,2015-10-11,,Single product class,Unavailable,1.50678051648,http://www.iviano.com/,http://www.vivotvs.com,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
53890,VIVO,LEDTV22FHD,"Australia,Fiji",China,54.7,1282.5,LCD (LED),0.63,0.0,0.71,35.67,5.0,5.451,134.0,Approved,2015-10-11,,Single product class,Unavailable,3.88847551969,http://www.iviano.com/,http://www.vivotvs.com,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
53734,VIVO,LTV26FHD,"Australia,Fiji",China,64.8,1853.3,LCD,0.48,0.0,0.53,58.4,4.0,4.446,216.0,Approved,2015-10-11,,Single product class,Unavailable,2.88303261005,http://www.iviano.com/,http://www.vivotvs.com,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
53516,VIVO,LTV32DHD,"Australia,Fiji,New Zealand",China,80.6,2779.9,LCD,0.36,0.25,0.36,73.69,4.5,4.817,271.0,Approved,2015-09-21,,Single product class,Unavailable,3.25420664465,http://www.iviano.com/,http://www.vivotvs.com,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
53776,VIVO,LTV19DHD,Australia,China,46.9,943.0,LCD,0.78,0.0,0.82,34.64,4.5,4.711,131.0,Approved,2015-10-11,,Single product class,Unavailable,3.14796151302,http://www.iviano.com/,http://www.vivotvs.com,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
52716,VIVO,LTV37HD,"Australia,New Zealand",China,94.0,3772.0,LCD,0.65,0.0,0.0,96.75,4.5,4.705,357.0,Approved,2015-07-25,,Single product class,Unavailable,3.143268724,http://www.iviano.com/,http://www.vivotvs.com,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
61604,VIVO,PTV43HD,"Australia,Fiji,New Zealand",China,109.311,5148.853546,LCD,4.568,0.0,6.034,159.17,3.5,3.54440416782,605.0,Superseded,2016-11-06,2013-04-11,Single product class,Unavailable,1.54440416782,http://www.iviano.com/,http://www.vivotvs.com,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
60758,vivid,TVLED15,Australia,China,40.7819,757.1,LCD (LED),0.63,0.0,1.2,15.2,7.0,7.747,59.0,Approved,2016-09-14,,Single product class,Unavailable,6.18433881856,http://www.iviano.com/,http://www.aldi.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_7_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-7.png
58196,VIVO,LTV22DFHD,Australia,China,54.6,1282.5,LCD,0.67,0.0,0.65,49.1,4.0,4.055,183.0,Approved,2016-07-17,,Single product class,Unavailable,2.49185728423,http://www.iviano.com/,http://www.vivotvs.com,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
68575,TCL,L46E5390FE,Australia,China,116.769,5822.96,LCD (LED),0.272,0.0,0.0,42.4,8.0,8.99378273141,200.0,Approved,2017-11-07,,Single product class,Unavailable,5.99208457013,http://www.tclelectronics.com.au/,http://www.tclelectronics.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_8_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-8.png
