ApplStandard,MEPSComp,N-Standard,Model Name,Model_No,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Product Website,Representative Brand URL,Star Image Large,Star Image Small
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,Each individual model number listed above,SRK25ZJX-S,,MITSUBISHI HEAVY INDUSTRIES LTD.,0.005,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.49,2.545,2.55,,3.46,3.791,1.095,,0.595,3.13,Calorimeter Room,4.99,5.13,TRUE,50.24,,4,4,,,,,,4.8599,5.0195,,,5.2198,5.539,5,5.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",51790,21/07/2015,,Approved,Reverse Cycle,,Class 10,,,,,,,,4.99,Unavailable,,,http://www.mhiaa.com.au/,http://www.mhiaa.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,KSV26NRC,,KELVINATOR,0.041,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.5,2.459,2.5,205,,,,315.5,0.52,2.6,Calorimeter Room,4.98,5.01,TRUE,,,1,1,0,0,,,,4.945916603,4.977043867,,,5.391833206,5.454087735,5,5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",64257,13/03/2017,,Approved,Reverse Cycle,896,Class 10,FALSE,,FALSE,FALSE,FALSE,FALSE,,4.98,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,AR09FSSDHWKN/AR09FSSDHWKX,,SAMSUNG ELECTRONICS,0.1,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.5,2.4,2.5,275,0,,,260,0.64,3.2,Calorimeter Room,4.8682,4.8412,TRUE,,,3,3,0,0,,,,4.774394648,4.767417386,,,5.0488,5.0348,5,5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",75541,12/11/2018,,Approved,Reverse Cycle,896,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,4.8682,Unavailable,,,,http://www.samsung.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,AR09FSFSDURN/AR09FSFSDURX,,SAMSUNG ELECTRONICS,0.1,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.5,2.4,2.5,275,0,,,260,0.64,3.2,Calorimeter Room,4.8682,4.8412,TRUE,,,3,3,0,0,,,,4.774394648,4.767417386,,,5.0488,5.0348,5,5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",76626,7/11/2018,,Approved,Reverse Cycle,896,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,4.8682,Unavailable,,,,http://www.samsung.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,AR09FSSSCURN/AR09FSSSCURX,,SAMSUNG ELECTRONICS,0.1,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.5,2.4,2.5,275,0,,,260,0.64,3.2,Calorimeter Room,4.8682,4.8412,TRUE,,,3,3,0,0,,,,4.774394648,4.767417386,,,5.0488,5.0348,5,5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",74275,29/08/2018,,Approved,Reverse Cycle,896,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,4.8682,Unavailable,,,,http://www.samsung.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,AR09FSSSBWKN/AR09FSSSBWKX,,SAMSUNG ELECTRONICS,0.1,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.5,2.4,2.5,275,0,,,260,0.64,3.2,Calorimeter Room,4.8682,4.8412,TRUE,,,3,3,0,0,,,,4.774394648,4.767417386,,,5.0488,5.0348,5,5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",74273,29/08/2018,,Approved,Reverse Cycle,896,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,4.8682,Unavailable,,,,http://www.samsung.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,AR09FSSSCURN/AR09FSSSCURX,,SAMSUNG ELECTRONICS,0.1,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.5,2.4,2.5,275,0,,,260,0.64,3.2,Calorimeter Room,4.8682,4.8412,TRUE,,,3,3,0,0,,,,4.774394648,4.767417386,,,5.0488,5.0348,5,5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",72736,17/07/2018,,Approved,Reverse Cycle,896,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,4.8682,Unavailable,,,,http://www.samsung.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,AR09FSSSCWKN/AR09FSSSCWKX,,SAMSUNG ELECTRONICS,0.1,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.5,2.4,2.5,275,0,,,260,0.64,3.2,Calorimeter Room,4.8682,4.8412,TRUE,,,3,3,0,0,,,,4.774394648,4.767417386,,,5.0488,5.0348,5,5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",76600,17/11/2018,,Approved,Reverse Cycle,896,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,4.8682,Unavailable,,,,http://www.samsung.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,AR09FSSSBWKN/AR09FSSSBWKX,,SAMSUNG ELECTRONICS,0.1,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.5,2.4,2.5,275,0,,,260,0.64,3.2,Calorimeter Room,4.8682,4.8412,TRUE,,,3,3,0,0,,,,4.774394648,4.767417386,,,5.0488,5.0348,5,5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",72733,17/07/2018,,Approved,Reverse Cycle,896,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,4.8682,Unavailable,,,,http://www.samsung.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,,ASTG09KMCA/AOTG09KMCA,,FUJITSU,0.89,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.51,1.61,2.5,203,0,,,268,0.65,3.2,Calorimeter Room,5.0235,4.9541,TRUE,62.3,,4.49,4.55,5.844897959,5.848874598,,,,4.878593901,4.84030721,,,5.2572,5.1806,5,5,Calorimeter Room,Single,R32,"Australia,New Zealand",73432,8/08/2018,,Approved,Reverse Cycle,840,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,5.0235,Available,,,,http://www.fujitsugeneral.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
