ApplStandard,MEPSComp,N-Standard,Model Name,Model_No,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Product Website,Representative Brand URL,Star Image Large,Star Image Small
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,,ASTG09CMCA/AOTG09CMCA,,FUJITSU,0.89,Non Ducted,Single Split System,Wall Hung,Air,,China,0.51,1.61,2.5,203,0,,,268,,,Calorimeter Room,5.0353,,TRUE,62.3,,4.49,,5.825203252,0,,,,4.889787466,,,,5.2796,,5,,Calorimeter Room,Single,R32,"Australia,New Zealand",75307,26/09/2018,,Approved,Cooling Only,840,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,5.0353,Available,,,,http://www.fujitsugeneral.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,,ASTG09KUCA/AOTG09KUCA,,FUJITSU,0.89,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.51,1.61,2.5,185,0,,,282,0.67,3.2,Calorimeter Room,5.0645,4.9061,TRUE,62,,4.49,4.55,5.758333333,5.927392739,,,,4.918659075,4.796184032,,,5.3373,5.0924,5,5,Calorimeter Room,Single,R32,"Australia,New Zealand",73469,31/07/2018,,Approved,Reverse Cycle,870,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,5.0645,Available,,,,http://www.fujitsugeneral.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
AS/NZS 3823.2:2011/Amdt A:2013 ,NZ MEPS April 2013,AS/NZS 3823.1.1:1998/Amdt 3:2006,Each individual model number listed above,RAS-10PKVP-E/PAVP-E,,TOSHIBA,0.55,Non Ducted,Single Split System,Wall Hung,Air,Air,Japan,0.475,1.95,2.5,,,,,,0.56,3,Calorimeter Room,5.12,5.335,TRUE,100,,9,9,,,,,,4.8143,5.06,,,5.1286,5.62,5,5.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",50793,,,Approved,Reverse Cycle,,,,,,,,,,5.12,Unavailable,,,http://www.ahi-carrier.co.nz/,http://www.toshibaheatpumps.com,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,,FTXJ25P / RXJ25P,,DAIKIN,0.39,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.54,2.11,2.5,212,0,,,303,0.7,3.2,Calorimeter Room,4.6586,4.537,TRUE,,,1.4,1.4,0,0,,,,4.618083909,4.50544414,,,4.7362,4.5109,4.5,4.5,Calorimeter Room,Single,R32,"Australia,Fiji,New Zealand",82841,13/08/2019,,Approved,Reverse Cycle,998,Class 10,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,4.6586,Available,,,http://www.daikin.com.au/,http://www.daikin.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,,UTN36WH2/UU36WH2,,LG,1,Non Ducted,Single Split System,Cassette,Air,Air,"""Korea, Republic of""",2.16,8.5,9.5,840,0,,,204,2.5,10.8,Calorimeter Room,4.6261,4.4472,TRUE,,,15.28,15.161,0,0,,,,4.518119117,4.355770721,,,4.5362,4.2115,4.5,4,Calorimeter Room,Single,R410A,"Australia,New Zealand",88072,18/03/2020,30/09/2011,Approved,Reverse Cycle,840,,FALSE,,FALSE,FALSE,FALSE,FALSE,,4.6261,Available,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,Each individual model number listed above,MS1A-09HRFN1-QE0,,MIDEA,0.07,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.54,2.43,2.5,250,,,,316,0.6,2.85,Calorimeter Room,4.555,4.68,TRUE,100,,0.7,6.43,,,,,,4.5178,4.5134,,,4.5356,4.5268,4.5,4.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",55936,15/02/2016,30/09/2011,Superseded,Reverse Cycle,830,,,,,,,,,4.555,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,CS_CU-E9NKR,,Panasonic,0.16,Non Ducted,Single Split System,Wall Hung,Air,Air,Malaysia,0.55,2.44,2.6,,,,,,0.75,3.6,Calorimeter Room,4.764,4.71,TRUE,56.3,,8.7291,8.597,0,0,,,,4.516264878,4.529918288,,,4.532529755,4.559836576,4.5,4.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",65932,25/06/2017,30/09/2011,Approved,Reverse Cycle,,Class 10,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,4.764,Unavailable,,,,http://N/A,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,Each individual model number listed above,SGT-09,,SAIR,0.07,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.54,2.43,2.5,250,,,,316,0.6,2.85,Calorimeter Room,4.555,4.68,TRUE,100,,0.7,6.43,,,,,,4.5178,4.5134,,,4.5356,4.5268,4.5,4.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",56118,15/03/2016,30/09/2011,Superseded,Reverse Cycle,830,,,,,,,,,4.555,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,RAS-10SKVP2-A + RAS-10SAVP2-A,,Toshiba,1,Non Ducted,Single Split System,Wall Hung,Air,Air,"Thailand,Thailand",0.49,1.51,2.51,205,,,,275,0.63,3.21,Calorimeter Room,4.877,4.843,TRUE,100,,6.9,6.9,0,0,,,,4.660645004,4.674393481,,,4.821290009,4.848786962,4.5,4.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",61253,27/09/2016,,Approved,Reverse Cycle,790,Class 10,FALSE,,FALSE,FALSE,FALSE,FALSE,,4.877,Unavailable,,,http://www.toshiba-aircon.in.th/,http://www.toshiba-aircon.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,RAS-10SKVP2-A + RAS-10SAVP2-A,,Toshiba,1,Non Ducted,Single Split System,Wall Hung,Air,Air,"Thailand,Thailand",0.49,1.51,2.51,205,,,,275,0.63,3.21,Calorimeter Room,4.877,4.843,TRUE,100,,6.9,6.9,0,0,,,,4.660645004,4.674393481,,,4.821290009,4.848786962,4.5,4.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",61253,27/09/2016,,Approved,Reverse Cycle,790,Class 10,FALSE,,FALSE,FALSE,FALSE,FALSE,,4.877,Unavailable,,,http://www.toshiba-aircon.in.th/,http://www.toshiba-aircon.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,Each individual model number listed above,CS_CU-E9MKR,,Panasonic,0.2,Non Ducted,Single Split System,Wall Hung,Air,Air,Malaysia,0.55,2.4,2.6,,,,,,0.75,3.6,Calorimeter Room,4.763,4.718,TRUE,100,,8.7291,8.597,,,,,,4.5137,4.5389,,,4.5274,4.5778,4.5,4.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",58599,12/07/2016,,Approved,Reverse Cycle,,Class 10,,TRUE,,TRUE,TRUE,TRUE,,4.763,Unavailable,,,,http://N/A,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,,CS_CU-E9PKR,,Panasonic,0.17,Non Ducted,Single Split System,Wall Hung,Air,Air,Malaysia,0.55,2.43,2.6,,0,,,,0.75,3.6,Calorimeter Room,4.7825,4.7252,TRUE,100,,8.4047,8.2746,0,0,,,,4.542662741,4.551959357,,,4.5853,4.6039,4.5,4.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",72891,11/07/2018,,Approved,Reverse Cycle,,Class 10,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,4.7825,Unavailable,,,http://papamy.panasonic.com.my/,http://www.panasonic.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,FTXS25L / RXS25L,,DAIKIN,0.18,Non Ducted,Single Split System,Wall Hung,Air,Air,"Thailand,Thailand",0.54,2.32,2.5,215,,,,295,0.7,3.4,Calorimeter Room,4.654,4.909,TRUE,100,,2.2,2.2,0,0,,,,4.55458712,4.856976461,,,4.60917424,5.213952923,4.5,5,Calorimeter Room,Single,R410A,"Australia,New Zealand",63017,18/04/2017,,Approved,Reverse Cycle,800,Class 10,FALSE,,FALSE,FALSE,FALSE,FALSE,,4.654,Unavailable,,,http://www.daikin.com.au/,http://www.daikin.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,FTKS25L / RKS25L,,DAIKIN,0.17,Non Ducted,Single Split System,Wall Hung,Air,,"Thailand,Thailand",0.54,2.33,2.5,215,,,,295,,,Calorimeter Room,4.67,,TRUE,100,,2.2,,0,0,,,,4.608524348,,,,4.717048695,,4.5,,Calorimeter Room,Single,R410A,"Australia,New Zealand",64457,25/10/2017,,Approved,Cooling Only,800,Class 10,FALSE,,FALSE,FALSE,FALSE,FALSE,,4.67,Available,,,http://www.daikin.com.au/,http://www.daikin.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,,RAS-10N3KVP-A + RAS-10N3AVP-A,,Toshiba,1,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.49,1.51,2.51,225,0,,,275,0.63,3.21,Calorimeter Room,4.8767,4.8434,TRUE,,,6.9,6.9,0,0,,,,4.660645004,4.674393481,,,4.8213,4.8488,4.5,4.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",69921,11/03/2018,,Approved,Reverse Cycle,790,Class 10,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,4.8767,Available,,,http://www.toshiba-aircon.in.th/,http://www.toshiba-aircon.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,MSZ-EF25VEW / MUZ-EF25VE,,MITSUBISHI ELECTRIC,0.2,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.55,2.3,2.5,195,0,,,299,0.7,3.2,Calorimeter Room,4.5793,4.5866,TRUE,,,1,1,0,0,,,,4.550955297,4.564480765,,,4.6019,4.629,4.5,4.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",71045,10/04/2018,,Approved,Reverse Cycle,895,Class 10,FALSE,,FALSE,,,,,4.5793,Available,,,http://www.MitsubishiElectric.com.au/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,MSZ-EF25VEB / MUZ-EF25VE,,MITSUBISHI ELECTRIC,0.2,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.55,2.3,2.5,195,0,,,299,0.7,3.2,Calorimeter Room,4.5793,4.5866,TRUE,,,1,1,0,0,,,,4.550955297,4.564480765,,,4.6019,4.629,4.5,4.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",71045,10/04/2018,,Approved,Reverse Cycle,895,Class 10,FALSE,,FALSE,,,,,4.5793,Available,,,http://www.MitsubishiElectric.com.au/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,Each individual model number listed above,MSZ-EF25VES / MUZ-EF25VE,,MITSUBISHI ELECTRIC,0.2,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.55,2.3,2.5,195,0,,,299,0.7,3.2,Calorimeter Room,4.5793,4.5866,TRUE,,,1,1,0,0,,,,4.550955297,4.564480765,,,4.6019,4.629,4.5,4.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",71045,10/04/2018,,Approved,Reverse Cycle,895,Class 10,FALSE,,FALSE,,,,,4.5793,Available,,,http://www.MitsubishiElectric.com.au/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,ASTG07JECB/AOTG07JECB,,FUJITSU,0.68,Non Ducted,Single Split System,Wall Hung,Air,,China,0.47,1.42,2.1,198,0,,,260,,,Calorimeter Room,4.75,,TRUE,,,6.06,,0,0,,,,4.552443253,,,,4.6049,,4.5,,Calorimeter Room,Single,R410A,"Australia,New Zealand",68187,23/09/2017,,Approved,Cooling Only,790,Class 10,FALSE,,TRUE,,,,UTY-XCZZ2,4.75,Available,,,,http://www.fujitsugeneral.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
AS/NZS 3823.2:2011/Amdt A:2013 ,NZ MEPS April 2013,AS/NZS 3823.1.1:1998/Amdt 3:2006,Each individual model number listed above,RAS-10SKVP2-A/RAS-10SAVP2-A,,TOSHIBA,1,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.49,1.51,2.51,205,,,,275,0.63,3.21,Calorimeter Room,4.877,4.843,TRUE,100,,6.9,6.9,,,,,,4.6606,4.6744,,,4.8212,4.8488,4.5,4.5,Calorimeter Room,Single,R410A,New Zealand,58751,,,Approved,Reverse Cycle,790,,,,,,,,,4.877,Available,,,http://www.ahi-carrier.co.nz/,http://www.toshibaheatpumps.com,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
AS/NZS 3823.2:2011/Amdt A:2013 ,NZ MEPS April 2013,AS/NZS 3823.1.2:2001/Amdt 5:2010,,MSZ-EF25VE-A1,,Mitsubishi Electric,0.2,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.55,2.3,2.5,195,,,,299,0.7,3.2,Calorimeter Room,4.579,4.782,TRUE,100,,1,1,0,0,,,,4.550955297,4.757991136,,,4.601910594,5.015982271,4.5,5,Calorimeter Room,Single,R410A,New Zealand,70420,,,Approved,Reverse Cycle,895,,FALSE,,FALSE,FALSE,FALSE,FALSE,,4.579,Unavailable,,,,http://www.bdt.co.nz,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
AS/NZS 3823.2:2011/Amdt A:2013 ,NZ MEPS April 2013,AS/NZS 3823.1.1:1998/Amdt 3:2006,,SGT-09,,SAIR,0.07,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.54,2.43,2.5,250,2.97,3.42,1.152,316,0.6,2.85,Calorimeter Room,4.555,4.68,TRUE,,,0.7,6.43,0,0,,,,4.517769005,4.513404042,,,4.53553801,4.526808083,4.5,4.5,Calorimeter Room,Single,R410A,New Zealand,67012,,,Approved,Reverse Cycle,830,,FALSE,,FALSE,FALSE,FALSE,FALSE,,4.555,Unavailable,,,http://www.santra.co.nz/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
AS/NZS 3823.2:2011/Amdt A:2013 ,NZ MEPS April 2013,AS/NZS 3823.1.1:2012,,MS1A-09HRFN1-QE0,,MIDEA,0.07,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.54,2.43,2.5,250,0,,,316,0.6,2.85,Calorimeter Room,4.5382,4.6797,TRUE,,,0.7,6.43,0,0,,,,4.517769005,4.513404042,,,4.5355,4.5268,4.5,4.5,Calorimeter Room,Single,R410A,New Zealand,71929,29/04/2113,,Approved,Reverse Cycle,830,,FALSE,,FALSE,,,,,4.5382,Unavailable,,,http://www.santra.co.nz/,http://www.midea.net.nz/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,,AS09HS,,ATD / Hisense,0.62,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.61,1.98,2.6,192,0,,,270,0.65,2.8,Calorimeter Room,4.3088,4.6602,TRUE,,,1.91,1.9,0,0,,,,4.26290408,4.612002794,,,4.0258,4.724,4,4.5,Calorimeter Room,Single,R410A,Australia,85247,29/10/2019,,Approved,Reverse Cycle,818,Class 10,FALSE,,FALSE,,,,,4.3088,Available,,,http://atd.net.au/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,,AQV09TWQN/AQV09TWQX,,SAMSUNG ELECTRONICS,0.1,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.6,2.4,2.5,190,0,,,285,0.7,3.2,Calorimeter Room,4.5109,4.5665,TRUE,85.48,,1.68,1.68,4.953933381,5.099739809,,,,4.464938933,4.529281988,,,4.4299,4.5586,4,4.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",82097,21/07/2019,,Approved,Reverse Cycle,890,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,4.5109,Available,,,,http://www.samsung.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,,RAS/C-25YHA4,,HITACHI,0.022,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.55,2.478,2.5,218,3.085844749,3.379,1.095,280,0.68,3.2,Calorimeter Room,4.481,4.6257,TRUE,,,4.25,4.25,0,0,,,,4.367558803,4.529488024,,,4.2351,4.559,4,4.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",79390,31/03/2019,,Approved,Reverse Cycle,780,Class 10,FALSE,,FALSE,,,,,4.481,Unavailable,,,,http://www.hitachi.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,DXK09ZMA-S / DXC09ZMA-S,,"MITSUBISHI HEAVY INDUSTRIES, LTD.",0.398,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.58,2.102,2.5,,2.881275441,4.247,1.474,,0.7,3.2,Calorimeter Room,4.4465,4.7286,TRUE,,,3.64,3.75,0,0,,,,4.355539768,4.644473287,,,4.2111,4.7889,4,4.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",78368,15/01/2019,,Approved,Reverse Cycle,,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,4.4465,Available,,,http://www.mhiaa.com.au/,http://www.mhiaa.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,,SRK25ZMA-S / SRC25ZMA-S,,"MITSUBISHI HEAVY INDUSTRIES, LTD.",0.398,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.58,2.102,2.5,,2.881275441,4.247,1.474,,0.7,3.2,Calorimeter Room,4.4465,4.7286,TRUE,,,3.64,3.75,0,0,,,,4.355539768,4.644473287,,,4.2111,4.7889,4,4.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",77670,15/01/2019,,Approved,Reverse Cycle,,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,4.4465,Available,,,http://www.mhiaa.com.au/,http://www.mhiaa.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,,SRK20ZMA-S / SRC20ZMA-S,,"MITSUBISHI HEAVY INDUSTRIES, LTD.",0.052,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.44,1.948,2,,2.807692308,3.431,1.222,,0.62,2.7,Calorimeter Room,4.532,4.4279,TRUE,,,3.29,3.49,0,0,,,,4.42342307,4.346634283,,,4.3468,4.1933,4,4,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",77668,14/01/2019,,Approved,Reverse Cycle,,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,4.532,Available,,,http://www.mhiaa.com.au/,http://www.mhiaa.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,,DMORC26DR,,MIDEA,0.25,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.6,2.3,2.55,198,0,,,280,0.62,2.65,Calorimeter Room,4.3619,4.2636,TRUE,,,3.7,4.7,0,0,,,,4.270318015,4.154853376,,,4.0406,3.8097,4,3.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",90090,16/06/2020,,Approved,Reverse Cycle,750,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,4.3619,Available,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
