Submit_ID,Brand_Reg,Model_No,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Image Large,Star Image Small
55154,Kogan,KGNFHDLED26VCA,Australia,China,66.0,1914.0,LCD (LED),0.76,0.0,0.0,59.5,4.0,4.428,222.0,Superseded,2016-03-09,2013-10-23,,Unavailable,2.86555613907,,http://www.kogan.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
55154,Kogan,KGNFHDLED26VDA,Australia,China,66.0,1914.0,LCD (LED),0.76,0.0,0.0,59.5,4.0,4.428,222.0,Superseded,2016-03-09,2013-10-23,,Unavailable,2.86555613907,,http://www.kogan.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
58423,OiTV,55LC120,Australia,China,148.62,9580.7,LCD,0.573,0.0,0.0,350.8,2.5,2.7,1284.0,Superseded,2016-05-18,2013-10-23,,Unavailable,1.13779635289,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
56332,OiTV,37LC120,Australia,China,95.0,4237.1,LCD,0.58,0.0,0.0,112.17,4.0,4.496,413.0,Superseded,2016-05-01,2013-10-23,,Unavailable,2.93371922836,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
56064,CONIA,CE1901HDR,Australia,China,46.99,944.2,LCD (LED),0.7,0.0,0.0,25.9,5.5,5.969,99.0,Superseded,2016-03-16,2013-10-23,,Unavailable,4.40637916875,,http://www.conia.com.au ,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
56059,CONIA,CL3201HDVDR,Australia,China,80.01,2736.6,LCD,0.83,0.0,0.0,107.1,3.0,3.061,396.0,Superseded,2016-03-02,2013-10-23,,Unavailable,1.49830546729,,http://www.conia.com.au ,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
52070,Kogan,KGNFHD42HVAA,Australia,China,106.7,4986.1,LCD,1.05,0.0,0.0,193.86,2.5,2.682,713.0,Superseded,2015-08-09,2013-10-23,,Unavailable,1.11975279606,,http://www.kogan.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
58800,kinezo,KNZ22FHDLEDDVD,Australia,China,54.6862,1277.9,LCD (LED),0.51,0.0,0.0,31.61,5.5,5.973,119.0,Superseded,2016-07-20,2013-10-23,,Unavailable,4.41008038266,,http://www.kinezo.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
58799,kinezo,KNZ19HDLEDDVD,Australia,"Austria,China",46.99,944.2,LCD (LED),0.63,0.0,0.0,36.73,4.0,4.29,144.0,Superseded,2016-07-12,2013-10-23,,Unavailable,2.72722040645,,http://www.kinezo.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
55535,CONIA,CE2401FHDVDR,Australia,China,59.94,1528.2,LCD (LED),0.69,0.0,0.0,37.9,5.5,5.715,142.0,Superseded,2016-02-06,2013-10-23,,Unavailable,4.15231495496,,http://www.conia.com.au ,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
55534,CONIA,CE2201FHDVDR,Australia,China,54.8,1312.1,LCD (LED),0.69,0.0,0.0,39.1,5.0,5.103,147.0,Superseded,2016-02-06,2013-10-23,,Unavailable,3.53995972984,,http://www.conia.com.au ,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
55534,CONIA,CE2201HDVDR,Australia,China,54.8,1312.1,LCD (LED),0.69,0.0,0.0,39.1,5.0,5.103,147.0,Superseded,2016-02-06,2013-10-23,,Unavailable,3.53995972984,,http://www.conia.com.au ,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
55085,kinezo,KNZ22FHDLED,Australia,China,54.69,1273.6,LCD (LED),0.61,0.0,0.0,35.89,5.0,5.299,138.0,Superseded,2015-12-22,2013-10-23,,Unavailable,3.73649114381,,http://www.kinezo.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
54833,kinezo,KNZ19HDLED,Australia,China,46.99,944.2,LCD (LED),0.578,0.0,0.0,33.42,4.5,4.783,129.0,Superseded,2016-01-09,2013-10-23,,Unavailable,3.22018063123,,http://www.kinezo.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
52078,Kogan,KGNPRO26VAA,Australia,China,66.0,1854.0,LCD,0.747,0.0,0.747,83.5,2.5,2.842,309.0,Superseded,2015-08-09,2013-10-23,,Unavailable,1.2796311241,,http://www.kogan.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
